1	基础知识
1.10.2.3	社会活动
1.10.2.3.1	社会调研
1.10.2.3.1.1	构成
1.10.2.3.1.2	格式
1.10.2.3.2	广告
1.10.2.3.2.1	概念
1.10.2.3.2.2	作用
1.10.2.3.2.3	广告语
2	阅读
2.1	记叙文
2.1.1	信息提取
2.1.1.1	信息提取（字词句段）
2.1.2	内容概括
2.1.2.1	要点概括
2.1.2.2	段落概括
2.1.2.3	篇章概括
2.1.3	内容理解
2.1.3.1	字词理解
2.1.3.2	句子理解
2.1.3.3	标题理解
2.1.3.4	内容理解
2.1.3.5	中心思想理解
2.1.4	内容赏析
2.1.4.1	字词赏析
2.1.4.2	句子赏析
2.1.4.3	标题赏析
2.1.4.4	段落赏析
2.1.4.5	人物分析与评价
2.1.5	写作手法
2.1.5.1	记叙方式
2.1.5.2	描写方法
2.1.5.3	修辞方法
2.1.5.4	写作顺序
2.1.6	语言表达
2.1.6.1	观点感悟启发
2.1.6.2	方法建议
2.1.6.3	情景带入
2.1.6.4	拟写标题
2.2	说明文
2.2.1	信息提取
2.2.1.1	信息提取（字词句段）
2.2.2	内容概括
2.2.2.1	要点概括
2.2.2.2	段落概括
2.2.2.3	篇章概括
2.2.3	内容理解
2.2.3.1	字词理解
2.2.3.2	句子理解
2.2.3.3	标题理解
2.2.3.4	内容理解
2.2.3.5	中心思想理解
2.2.4	写作手法
2.2.4.1	说明方法及其辨析
2.2.4.2	说明方法的作用
2.2.4.3	说明顺序
2.2.5	语言表达
2.2.5.1	观点感悟
2.2.5.2	方法建议
2.2.5.3	拟写标题
2.3	议论文
2.3.1	信息提取
2.3.1.1	信息提取（字词句段）
2.3.2	内容概括
2.3.2.1	要点概括
2.3.2.2	段落概括
2.3.3	内容理解
2.3.3.1	字词理解
2.3.3.2	句子理解
2.3.3.3	标题理解
2.3.3.4	内容理解
2.3.3.5	中心思想理解
2.3.4	写作手法
2.3.4.1	论证/论据
2.3.5	语言表达
2.3.5.1	观点感悟
2.3.5.2	方法建议
2.3.5.3	拟写标题
2.4	散文
2.4.1	信息提取
2.4.1.1	信息提取（字词句段）
2.4.2	内容概括
2.4.2.1	要点概括
2.4.2.2	段落概括
2.4.2.3	篇章概括
2.4.3	内容理解
2.4.3.1	字词理解
2.4.3.2	句子理解
2.4.3.3	标题理解
2.4.3.4	内容理解
2.4.3.5	中心思想理解
2.4.4	内容赏析
2.4.4.1	字词赏析
2.4.4.2	句子赏析
2.4.4.3	标题赏析
2.4.4.4	段落赏析
2.4.4.5	人物分析
2.4.5	写作手法
2.4.5.1	描写方法
2.4.5.2	修辞方法
2.4.6	语言表达
2.4.6.1	观点感悟
2.4.6.2	情景带入
2.4.6.3	拟写标题
2.5	非连续文本
