49	相遇追及火车问题
49.1	相遇追及
49.1.1	基本行程问题
49.1.1.1	基本行程公式
49.1.1.2	平均速度问题
49.1.1.3	分段
49.1.2	相遇问题
49.1.2.1	同时出发相遇问题（基本相遇问题）
49.1.2.2	不同时出发相遇问题
49.1.2.3	同地相遇问题
49.1.2.4	苏步青的狗
49.1.2.5	接送问题
49.1.3	追及问题
49.1.3.1	同时出发追及问题（基本追及问题）
49.1.3.2	不同时出发追及问题
49.1.3.3	同地出发追及问题
49.1.4	相遇追及问题综合
49.2	火车问题
49.2.1	火车过树（电线杆）
49.2.2	火车迎面过人
49.2.2.1	求时间
49.2.2.2	求人速
49.2.2.3	求车速
49.2.2.4	求车长
49.2.3	火车背后超人
49.2.3.1	求时间
49.2.3.2	求人速
49.2.3.3	求车速
49.2.3.4	求车长
49.2.3.5	超两人
49.2.4	火车过桥（隧道）
49.2.4.1	求时间
49.2.4.2	求车速
49.2.4.3	求桥长
49.2.4.4	求车长
49.2.4.5	两次过桥
49.2.5	错车问题
49.2.5.1	求时间
49.2.5.2	求车速
49.2.5.3	求车长
49.2.6	超车问题
49.2.6.1	求时间
49.2.6.2	求车速
49.2.6.3	求车长
49.2.7	综合题目
49.2.7.1	超人与过人
49.2.7.2	超车与错车
49.2.7.3	火车过桥与过人
49.2.7.4	火车过桥与超车
49.2.7.5	两次过桥与错车
49.2.7.6	两次过桥与超车
49.2.7.7	过车上的人
50	多次往返、环形跑道
50.1	多次相遇追及问题
50.1.1	基本相遇问题
50.1.1.1	同地出发
50.1.1.2	异地出发
50.1.2	基本追及问题
50.1.2.1	同地出发
50.1.2.2	异地出发
50.1.3	二次相遇
50.1.4	相遇点之间的距离
50.1.5	相遇追及综合
50.1.6	柳卡图解题
50.2	环形跑道
50.2.1	两人相遇问题
50.2.2	两人追及问题
50.2.3	相遇追及综合
50.2.4	变道问题
50.2.5	变速问题
50.2.6	多人相遇追及
51	流水行船、扶梯、间隔发车、接送
51.1	流水行船
51.1.1	基础流水行船问题
51.1.1.1	顺水/逆水速度
51.1.1.2	船速/水速
51.1.1.3	综合型
51.1.2	流水行船中的相遇与追及
51.1.3	用比例解行程题
51.1.3.1	对比分析
51.1.3.2	比例在流水行船中的应用
51.2	扶梯问题
51.3	间隔发车问题
51.4	接送问题
51.4.1	汽车接送问题——接一个人
51.4.2	汽车接送问题——接两个人或多人
51.4.2.1	车速不变、人速不变
51.4.2.2	车速不变、人速变
51.4.2.3	车速变、人速不变
51.4.2.4	车速变、人速变
51.4.3	汽车接送问题——借车赶路问题
51.4.4	汽车接送问题——策略问题
52	变速多人行程
52.1	基础变速
52.1.1	变速基础
52.1.2	公式法求平均速度
52.1.3	假设法/参数法求平均速度
52.1.4	一半时间一半路程比较
52.2	变速行程的典型应用
52.2.1	变速与鸡兔同笼结合
52.2.2	变速与正反比结合
52.2.3	变速与流水行船结合
52.2.4	走停问题
52.2.5	接送问题
52.3	多次变速
52.3.1	上下坡
52.3.2	环形跑道
52.3.3	相遇追及中的变速
52.3.4	相遇追及中的变道
52.4	多人行程
52.4.1	多人相遇追及
52.4.2	快慢钟与标准时间
