1	基本应用题
14.1.1.2	隐藏分率
14.1.2	求单位1
14.1.2.1	已知分量、分率
14.1.2.2	隐藏分量
14.1.2.3	隐藏分率
14.1.2.4	隐藏分量、分率
14.1.3	分率转化
14.2	复杂多步量率对应
14.3	分数倍应用题综合
14.3.1	单量不变
14.3.2	和差倍分数应用题
14.3.2.1	和倍分数应用题
14.3.2.1.1	基本
14.3.2.1.2	和不变
14.3.2.2	差倍分数应用题
14.3.2.2.1	基本
14.3.2.2.2	差不变
14.3.2.2.3	暗差
14.3.3	估算
14.3.4	工作问题
14.3.4.1	效率不变
14.3.5	经济问题
14.3.6	分数倍应用题与数论
15	比例问题
15.1	比例转化
15.1.1	基础比例转化
15.1.1.1	比例的拆解
15.1.1.2	比例的融合
15.1.2	比例转化与分数
15.1.3	比例转化与百分数
15.2	按比例分配与和差关系
15.2.1	量倍对应
15.2.1.1	已知两组物体的数量比与单一量
15.2.1.2	已知两组物体的数量比与和
15.2.1.3	已知两组物体的数量比与差
15.2.2	利用不变量统一份数
15.2.2.1	总量不变
15.2.2.2	差量不变
15.2.2.3	单量不变
15.3	比例尺问题
15.4	利用等量关系列方程解比例
15.4.1	正比例
15.4.2	反比例
16	工程问题
16.1	基本工程问题
16.1.1	单人工程及定义
16.1.2	双人合作
16.1.3	多人合作
16.1.4	中途休息或接替
16.2	水管工程问题
16.2.1	单进水/排水
16.2.2	有进水有排水
16.2.3	进出水管数量
16.2.4	进出水管位置与水箱
16.3	变速工程问题
16.4	特殊类型及特殊方法
16.4.1	帮来帮去
16.4.2	周期轮流
16.4.3	不同对象间的代换
16.4.4	按比分配
16.4.5	加减消工率
16.4.6	与经济结合
17	经济问题
17.1	基本经济问题概念与关系
17.1.1	单价、数量、总价
17.1.2	成本、利润、售价
17.1.3	成本、售价、利润率、亏损率
17.1.4	原价、降价、涨价、售价
17.2	基本银行问题概念与关系
17.2.1	本金、利率、利息
17.2.2	本金、利息、本息
17.2.3	本金、利率、本息
17.2.4	利息税
17.3	税收保险与分段收费问题
17.4	经济概念综合应用
17.4.1	关系的综合考察
17.4.2	设数法
17.4.3	加权平均数在经济问题中的应用
17.4.4	抓不变量
17.5	经济概念综合应用
17.5.1	关系的综合考察
